
fwSecAggSig_crypto1999
1024
2	0.140924	0.002961	0.004053	0.000020	0.002000	904
4	0.084103	0.006496	0.006485	0.000011	0.002808	904
8	0.118377	0.012395	0.013467	0.000026	0.002717	904
16	0.088774	0.027427	0.032348	0.000035	0.004945	904
32	0.106087	0.057786	0.052010	0.000071	0.006964	904
64	0.089730	0.105558	0.102384	0.000147	0.012079	904
128	0.079952	0.208144	0.216765	0.000299	0.024100	904
256	0.122614	0.488864	0.613593	0.000665	0.050458	904
512	0.190897	1.505849	2.127609	0.001324	0.094723	904
1024	0.378433	5.187602	7.853986	0.002336	0.194980	904
2048	0.717624	17.550081	28.381090	0.007086	0.346683	904
2048
2	0.381381	0.008403	0.010364	0.000008	0.005213	1800
4	0.273894	0.017557	0.017797	0.000023	0.006225	1800
8	0.436829	0.033311	0.035435	0.000041	0.007895	1800
16	0.416822	0.070276	0.070362	0.000091	0.011144	1800
32	0.341025	0.138687	0.147391	0.000180	0.018697	1800
64	0.321150	0.273204	0.286671	0.000357	0.034988	1800
128	0.273965	0.564929	0.632799	0.000740	0.067265	1800
256	0.448990	1.365657	1.687527	0.001436	0.121860	1800
512	0.541259	4.181458	5.909348	0.002908	0.247613	1800
1024	1.126490	13.879520	21.324270	0.005855	0.495029	1800
2048	1.926051	50.778873	82.428528	0.012114	0.994382	1800
