
crypto1999
1024
2	0.040453	0.000895	0.000293	260
4	0.044116	0.002751	0.000964	260
8	0.028147	0.004677	0.001353	260
16	0.031024	0.007820	0.002807	260
32	0.070320	0.017671	0.008023	260
64	0.044823	0.033919	0.014373	260
128	0.113572	0.089738	0.037626	260
256	0.145798	0.193355	0.105266	260
512	0.211155	0.505419	0.353895	260
1024	0.405342	1.510322	1.215988	260
2048	0.768212	5.350137	4.647610	260
2048
2	0.575496	0.003875	0.001103	516
4	0.126265	0.005371	0.001750	516
8	0.409728	0.010860	0.003866	516
16	0.166994	0.022449	0.008548	516
32	0.468663	0.046343	0.019929	516
64	0.375356	0.105300	0.039178	516
128	0.572523	0.218637	0.102263	516
256	0.442925	0.549224	0.307639	516
512	0.850636	1.428478	1.018398	516
1024	1.066464	4.181636	3.267283	516
2048	1.930257	14.641358	13.387822	516
